Title,Artist,"Artist (Last, First)",Series,Volume,Online Videos,Labels,Catalog Number,Country,Release Year,Original Release Year,Tracks,Versions,Genres,Styles,Composers,Orchestras,Conductors,Performers,Writers,Production Companies,Producers,Description,Edition,Media,Format,Content Type,Length,Vinyl Size,Vinyl Speed,List Price,Language,Packaging,Number Of Volumes,UPC-EAN13,Favorites,Rating,Physical Location,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Cover Condition,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,discogs Release ID,Category,Wish List,Previously Owned,Uploaded Image URL,Activities
19 Class A Numbers,Wolfgang Ambros,"Ambros, Wolfgang",,,"[{""youtubeID"":""YFexOuLyBBc"",""title"":""....sonst muß ich Sie ermorden""},{""youtubeID"":""YFexOuLyBBc"",""title"":""....sonst muß ich Sie ermorden""},{""youtubeID"":""2NZEpB0Dy6M"",""title"":""A gfäuda Tog (Remastered)""},{""youtubeID"":""2NZEpB0Dy6M"",""title"":""A gfäuda Tog (Remastered)""},{""youtubeID"":""YjGkJAM64kM"",""title"":""A klana Blick (Remastered)""},{""youtubeID"":""YjGkJAM64kM"",""title"":""A klana Blick (Remastered)""},{""youtubeID"":""mcuDGouXtSI"",""title"":""Auftritt (Remastered)""},{""youtubeID"":""mcuDGouXtSI"",""title"":""Auftritt (Remastered)""},{""youtubeID"":""Hsqgk2HQ6F8"",""title"":""Baba und foi ned (Remastered)""},{""youtubeID"":""Hsqgk2HQ6F8"",""title"":""Baba und foi ned (Remastered)""},{""youtubeID"":""bNtdB3Kr7B0"",""title"":""Da Ernstl""},{""youtubeID"":""bNtdB3Kr7B0"",""title"":""Da Ernstl""},{""youtubeID"":""CVbWtFHSP20"",""title"":""De best'n Liada""},{""youtubeID"":""CVbWtFHSP20"",""title"":""De best'n Liada""},{""youtubeID"":""DaeG8MqMCTE"",""title"":""Du schwoaza Afghane (Remastered)""},{""youtubeID"":""DaeG8MqMCTE"",""title"":""Du schwoaza Afghane (Remastered)""},{""youtubeID"":""S-m59k7TsZg"",""title"":""Eibischzuckerl""},{""youtubeID"":""S-m59k7TsZg"",""title"":""Eibischzuckerl""},{""youtubeID"":""hZiuHBu6LI4"",""title"":""Es ergibt si nix (Remastered)""},{""youtubeID"":""hZiuHBu6LI4"",""title"":""Es ergibt si nix (Remastered)""},{""youtubeID"":""5tXfuwl-GSs"",""title"":""Es is no ned vorbei""},{""youtubeID"":""5tXfuwl-GSs"",""title"":""Es is no ned vorbei""},{""youtubeID"":""o00uD7MeHfQ"",""title"":""Glaub jo ned (daß des so weidageht)""},{""youtubeID"":""o00uD7MeHfQ"",""title"":""Glaub jo ned (daß des so weidageht)""},{""youtubeID"":""zHYah9ZvUyg"",""title"":""Hilly Billy Lilly""},{""youtubeID"":""zHYah9ZvUyg"",""title"":""Hilly Billy Lilly""},{""youtubeID"":""4cyzdnu5uGk"",""title"":""Hoiba zwöfe (Remastered)""},{""youtubeID"":""4cyzdnu5uGk"",""title"":""Hoiba zwöfe (Remastered)""},{""youtubeID"":""ydJalnwGsgo"",""title"":""Hoit do is a Spoit (Remastered)""},{""youtubeID"":""ydJalnwGsgo"",""title"":""Hoit do is a Spoit (Remastered)""},{""youtubeID"":""7nJmkDqoWGA"",""title"":""Meine Foab'n""},{""youtubeID"":""7nJmkDqoWGA"",""title"":""Meine Foab'n""},{""youtubeID"":""rkMxlsD2SLU"",""title"":""Mochtwurt (Bonus Track Remastered)""},{""youtubeID"":""rkMxlsD2SLU"",""title"":""Mochtwurt (Bonus Track Remastered)""},{""youtubeID"":""8es_R38Ii0Q"",""title"":""Schifoan (Bonus Track Remastered)""},{""youtubeID"":""8es_R38Ii0Q"",""title"":""Schifoan (Bonus Track Remastered)""},{""youtubeID"":""FCGUJHgNJR0"",""title"":""Schifoan (TV Playback Bonus Track Remastered)""},{""youtubeID"":""FCGUJHgNJR0"",""title"":""Schifoan (TV Playback Bonus Track Remastered)""},{""youtubeID"":""Hh9CBMpFar4"",""title"":""Sei ned so g'spritzt (Remastered)""},{""youtubeID"":""Hh9CBMpFar4"",""title"":""Sei ned so g'spritzt (Remastered)""},{""youtubeID"":""es8qwmDQRbQ"",""title"":""UFO""},{""youtubeID"":""es8qwmDQRbQ"",""title"":""UFO""},{""youtubeID"":""gZS-5lUpwPI"",""title"":""Warum host des g'mocht (Remastered)""},{""youtubeID"":""gZS-5lUpwPI"",""title"":""Warum host des g'mocht (Remastered)""},{""youtubeID"":""heoOygJpfQs"",""title"":""Wolfgang Ambros  - Es is no ned vorbei (Originalvideo)""},{""youtubeID"":""heoOygJpfQs"",""title"":""Wolfgang Ambros  - Es is no ned vorbei (Originalvideo)""},{""youtubeID"":""o1Hq7nyeF4I"",""title"":""Wolfgang Ambros -  Es is no ned vorbei""},{""youtubeID"":""o1Hq7nyeF4I"",""title"":""Wolfgang Ambros -  Es is no ned vorbei""}]",,,,1976,,"[{""duration"":163,""title"":""A1. Meine Foab'n""},{""duration"":122,""title"":""A2. A Klana Blick""},{""duration"":142,""title"":""A3. Eibischzuckerl (Oder: Wenn Sa Si So Schickt)""},{""duration"":190,""title"":""A4. Hoit Dois A Spoit""},{""duration"":232,""title"":""A5. Es Ergibt Si Nix""},{""duration"":175,""title"":""A6. Hilly Billy Lilly""},{""duration"":222,""title"":""B1. Glaub Jo Ned (Dass Des So Weidageht)""},{""duration"":151,""title"":""B2. Hoiba Zwölfe""},{""duration"":241,""title"":""B3. Auftritt""},{""duration"":230,""title"":""B4. Sei Ned So G'Spritzt""},{""duration"":128,""title"":""B5. ... Sonst Muss Ich Sie Ermorden""},{""duration"":275,""title"":""C1. A Gfäuda Tog""},{""duration"":123,""title"":""C2. De Best'n Liada""},{""duration"":277,""title"":""C3. Warum Hast Des G'Mocht""},{""duration"":254,""title"":""C4. Da Ernstl""},{""duration"":207,""title"":""C5. Baba Und Foi Ned""},{""duration"":240,""title"":""D1. Du Schwoaza Afghane""},{""duration"":192,""title"":""D2. UFO""},{""duration"":460,""title"":""D3. Es Is No Ned Vorbei""}]",,"Blues,Pop,Rock,Folk, World, & Country",,,,,"Piano - Christian Kolonovits,Electric Guitar - Johan Daansen,Choir - Schmetterlinge,Saxophone - E. Klinger,Keyboards - Christian Kolonovits,Voice - Peter Müller,Saxophone - Peter Klinger (2),Banjo - H. Leitner,Drums - Fritz Matzka,Bass - Kurt Hauenstein,Acoustic Guitar - Günter Großlercher,Organ - Christian Kolonovits,Synthesizer - Christian Kolonovits,Electric Piano - Christian Kolonovits,Acoustic Guitar - Norbert Niedermayr,Percussion - Fritz Matzka,Mandolin - Johan Daansen,Clarinet - Harry Polesnig,Acoustic Guitar - Wolfgang Ambros,Percussion - Christian Kolonovits,Violin - Hans Grötzer,Acoustic Guitar - Johan Daansen,Strings - Wiener Volksopernorchester,Guitar - Günter Großlercher,Harmonica - Peter Müller",,,,,,,,Album,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 23:10:22.530269980,,,,,,,,832425,,0,0,https://i.discogs.com/JLA4c5f-dlWflOOU47xsSFE_idadwO_JDlgHAktP9j0/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgzMjQy/NS0xMjUxNjI3ODEy/LmpwZWc.jpeg,
42,Napkey,Napkey,,,"[{""youtubeID"":""UF1KLrELs8A"",""title"":""Aqueduc""},{""youtubeID"":""UF1KLrELs8A"",""title"":""Aqueduc""},{""youtubeID"":""q6XAcc-DK4g"",""title"":""Fading Away""},{""youtubeID"":""q6XAcc-DK4g"",""title"":""Fading Away""},{""youtubeID"":""WsMFz8ZVBrw"",""title"":""Low Iso""},{""youtubeID"":""WsMFz8ZVBrw"",""title"":""Low Iso""},{""youtubeID"":""yQ_SBYvxiUY"",""title"":""Marathon""},{""youtubeID"":""yQ_SBYvxiUY"",""title"":""Marathon""},{""youtubeID"":""K-pZg2vVnnk"",""title"":""Pegasus""},{""youtubeID"":""K-pZg2vVnnk"",""title"":""Pegasus""},{""youtubeID"":""htLwFUEt4V8"",""title"":""Tokyo at Dawn""},{""youtubeID"":""htLwFUEt4V8"",""title"":""Tokyo at Dawn""},{""youtubeID"":""ulFTCICQ9Dw"",""title"":""Tokyo at Dusk""},{""youtubeID"":""ulFTCICQ9Dw"",""title"":""Tokyo at Dusk""}]",,,,2017,,"[{""duration"":252,""title"":""A1. Parade Nuptiale""},{""duration"":272,""title"":""A2. Marathon""},{""duration"":169,""title"":""A3. Vacuum""},{""duration"":200,""title"":""A4. Last Thoughts""},{""duration"":223,""title"":""A5. Low Iso""},{""duration"":256,""title"":""A6. Tokyo at Down""},{""duration"":257,""title"":""B1. Aqueduc""},{""duration"":213,""title"":""B2. Pegasus""},{""duration"":389,""title"":""B3. Tokyo at Dusk""},{""duration"":224,""title"":""B4. Fading Away""},{""duration"":168,""title"":""B5. Le Chat""},{""duration"":244,""title"":""B6. Lights""}]",,"Pop,Electronic",,,,,,,,,,,,,Album,,,,,,,,3760239540599,0,0.000000,,,,,,0,,,,,,2025/09/20 08:41:37.411839962,,,,,,,,11344259,,0,0,https://i.discogs.com/_My4a7_HcTnuQQhlMglAUmReSaVZdYfRzWsuX60-BD0/rs:fit/g:sm/q:90/h:400/w:400/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExMzQ0/MjU5LTE1MTQ2Mjk1/NzUtMzM4Ny5qcGVn.jpeg,
2001,Dr. Dre,"Dre, Dr.",,,"[{""youtubeID"":""_CL6n0FJZpk"",""title"":""Dr. Dre - Still D.R.E. ft. Snoop Dogg""},{""youtubeID"":""QZXc39hT8t4"",""title"":""Dr. Dre - The Next Episode (Official Music Video) ft. Snoop Dogg, Kurupt, Nate Dogg""}]",,,,2022,,"[{""duration"":40,""title"":""A1. Lolo (Intro)""},{""duration"":208,""title"":""A2. The Watcher""},{""duration"":205,""title"":""A3. Fuck You""},{""duration"":268,""title"":""A4. Still D.R.E.""},{""duration"":241,""title"":""A5. Big Ego's""},{""duration"":215,""title"":""B1. Xxplosive""},{""duration"":244,""title"":""B2. What's The Difference""},{""duration"":51,""title"":""B3. Bar One""},{""duration"":150,""title"":""B4. Light Speed""},{""duration"":234,""title"":""B5. Forgot About Dre""},{""duration"":162,""title"":""B6. The Next Episode""},{""duration"":147,""title"":""C1. Let's Get High""},{""duration"":254,""title"":""C2. Bitch Niggaz""},{""duration"":61,""title"":""C3. The Car Bomb""},{""duration"":148,""title"":""C4. Murder Ink""},{""duration"":92,""title"":""C5. Ed-Ucation""},{""duration"":265,""title"":""C6. Some L.A. Niggaz""},{""duration"":93,""title"":""C7. Pause 4 Porno""},{""duration"":243,""title"":""D1. Housewife""},{""duration"":220,""title"":""D2. Ackrite""},{""duration"":222,""title"":""D3. Bang Bang""},{""duration"":311,""title"":""D4. The Message""}]",,Hip Hop,,,,,"Bass - Mel-Man,Keyboards - Carl Breeding,Percussion - Taku Hirano,Bass - Preston Crump,Keyboards - Scott Storch,Keyboards - Lord Finesse,Backing Vocals - Anthony (6),Backing Vocals - Kurupt,Performer - Thomas Chong,Backing Vocals - Ms. Roq,Backing Vocals - Eminem,Bass - Mike Elizondo,Backing Vocals - Hittman,Backing Vocals - Phish (2),Backing Vocals - T.Y. Nichols,Backing Vocals - Knoc-turn'al,Vocals - Nate Dogg,Bass - Colin Wolfe,Vocals - Mel-Man,Guitar - Sean Cruse,Keyboards - Camara Kambon,Scratches - DJ Pen One,Vocals - Scruncho,Backing Vocals - Kokane,Backing Vocals - Traci Nelson",,,,,,,,Album,,,,,,,,0602577656897,0,0.000000,,,,,,0,,,,,,2025/09/20 23:24:06.411628961,,,,,,,,24076022,,0,0,"https://m.media-amazon.com/images/I/51LZQBYYjEL._UF1000,1000_QL80_.jpg",
Abraxas / Santana,Santana,Santana,,,,,,,1986,,"[{""duration"":0,""title"":""Abraxas""},{""duration"":288,""title"":""A1. Singing Winds, Crying Beasts""},{""duration"":317,""title"":""A2. Black Magic Woman \/ Gypsy Queen""},{""duration"":257,""title"":""A3. Oye Como Va""},{""duration"":298,""title"":""A4. Incident At Neshabur""},{""duration"":169,""title"":""B1. Se A Cabo""},{""duration"":265,""title"":""B2. Mother's Daughter""},{""duration"":286,""title"":""B3. Samba Pa Ti""},{""duration"":250,""title"":""B4. Hope You're Feeling Better""},{""duration"":89,""title"":""B5. El Nicoya""},{""duration"":0,""title"":""Santana""},{""duration"":244,""title"":""C1. Waiting""},{""duration"":236,""title"":""C2. Evil Ways""},{""duration"":193,""title"":""C3. Shades Of Time""},{""duration"":165,""title"":""C4. Savor""},{""duration"":261,""title"":""C5. Jingo""},{""duration"":155,""title"":""D1. Persuasion""},{""duration"":283,""title"":""D2. Treat""},{""duration"":275,""title"":""D3. You Just Don't Care""},{""duration"":398,""title"":""D4. Soul Sacrifice""}]",,"Blues,Latin,Rock,Jazz",,,,,"Piano - Gregg Rolie,Congas - José ""Chepito"" Areas,Piano - Alberto Gianquinto,Bass - David Brown (5),Organ - Gregg Rolie,Drums - Michael Shrieve,Percussion - Rico Reyes,Guitar - Carlos Santana,Congas - Michael Carabello,Percussion - José ""Chepito"" Areas,Vocals - Carlos Santana,Percussion - Michael Carabello,Vocals - Gregg Rolie,Vocals - Rico Reyes",,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 23:16:59.339285969,,,,,,,,3485992,,0,0,https://i.discogs.com/VdvQThEhBUbBsvZAzhFtUAYSrBOOeb9HaGrtYPVntlQ/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM0ODU5/OTItMTUwMTA2NDY3/OS02NjkyLmpwZWc.jpeg,
After The Rain,Muddy Waters,"Waters, Muddy",,,"[{""youtubeID"":""xkEvpMXfcbo"",""title"":""Blues And Trouble""},{""youtubeID"":""DQadLoDNREY"",""title"":""Bottom Of The Sea""},{""youtubeID"":""nA1F1RtSuhQ"",""title"":""Honey Bee""},{""youtubeID"":""O8Ls-tshwnQ"",""title"":""Hurtin' Soul""},{""youtubeID"":""txXUCjQl8u8"",""title"":""I Am The Blues""},{""youtubeID"":""jpmcUSXXaJE"",""title"":""Ramblin' Mind""},{""youtubeID"":""aMZbp4XI81k"",""title"":""Rollin' And Tumblin'""},{""youtubeID"":""7p77dE6LQG4"",""title"":""Screamin' And Cryin'""}]",,,,2016,,"[{""duration"":281,""title"":""A1. I Am The Blues""},{""duration"":288,""title"":""A2. Ramblin' Mind""},{""duration"":291,""title"":""A3. Rollin' And Tumblin'""},{""duration"":325,""title"":""A4. Bottom Of The Sea""},{""duration"":258,""title"":""B1. Honey Bee""},{""duration"":264,""title"":""B2. Blues And Trouble""},{""duration"":279,""title"":""B3. Hurtin' Soul""},{""duration"":303,""title"":""B4. Screamin' And Cryin'""}]",,Blues,,,,,"Guitar - Phil Upchurch,Organ - Charles Stepney,Piano - Otis Spann,Bass - Louis Satterfield,Lead Guitar - Muddy Waters,Drums - Morris Jennings,Guitar - Pete Cosey,Harmonica - Paul Oscher,Vocals - Muddy Waters",,,,,,,,Album,,,,,,,,8435395501474,0,0.000000,,,,,,0,,,,,,2025/09/20 08:54:39.603062033,,,,,,,,9664313,,0,0,https://i.discogs.com/Ma1q0J2qJim0pkCPU3rLj9R_fvPg8cNBU5tyaN4rG08/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk2NjQz/MTMtMTQ4NDQxMzM1/OS05NzIxLmpwZWc.jpeg,
Ain't But The One Way,Sly & The Family Stone,"Stone, Sly & The Family",,,"[{""youtubeID"":""MLCp0SUqZy0"",""title"":""High, Y'all""},{""youtubeID"":""PRKadm_8-18"",""title"":""Hobo Ken""},{""youtubeID"":""mPTMCTPOsBM"",""title"":""L.O.V.I.N.U.""},{""youtubeID"":""x8cwLHnwpJY"",""title"":""One Way""},{""youtubeID"":""m0GjKyAEePk"",""title"":""Sly & the Family Stone - Ha Ha, Hee Hee""},{""youtubeID"":""ovrdVeSrZj0"",""title"":""Sylvester""},{""youtubeID"":""Z1KcH5m0YlQ"",""title"":""We Can Do It""},{""youtubeID"":""AsGk3ySxjqM"",""title"":""Who in the Funk Do You Think You Are""},{""youtubeID"":""MHWLQs2JNNk"",""title"":""You Really Got Me""}]",,,,1982,,"[{""duration"":279,""title"":""A1. L.O.V.I.N.U.""},{""duration"":266,""title"":""A2. One Way""},{""duration"":233,""title"":""A3. Ha Ha Hee Hee""},{""duration"":158,""title"":""A4. Hobo Ken""},{""duration"":274,""title"":""B1. Who In The Funk Do You Think You Are""},{""duration"":231,""title"":""B2. You Really Got Me""},{""duration"":44,""title"":""B3. Sylvester""},{""duration"":225,""title"":""B4. We Can Do It""},{""duration"":345,""title"":""B5. High, Y'all""}]",,Funk / Soul,,,,,,,,,,,,,Album,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 23:22:52.457193017,,,,,,,,2609078,,0,0,https://i.discogs.com/bYQEtcEkk2wX4JYp7pDVFpn7Nwy3AzSISZ1CeLJUHCQ/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2MDkw/NzgtMTQ0MjY3NzEz/OC02MTY0LmpwZWc.jpeg,
As Nasty As They Wanna Be,The 2 Live Crew,"Crew, The 2 Live",,,"[{""youtubeID"":""UEFMi7WA-B0"",""title"":""D-ck Almighty""},{""youtubeID"":""_9YsaQOYjS0"",""title"":""Dirty Nursery Rhymes""},{""youtubeID"":""1fgkLjFcHBc"",""title"":""Me So Horny""},{""youtubeID"":""pp1CWZI8oRw"",""title"":""Mega Mixx III""},{""youtubeID"":""y7PfAtPkJ3Q"",""title"":""Put Her In The Buck""},{""youtubeID"":""FlfYCgvhkrM"",""title"":""The F--k Shop""}]",,,,1990,,"[{""duration"":0,""title"":""Luke's Side (A)""},{""duration"":275,""title"":""A1. Me So Horny""},{""duration"":236,""title"":""A2. Put Her In The Buck""},{""duration"":292,""title"":""A3. Dick Almighty""},{""duration"":282,""title"":""A4. C'mon Babe""},{""duration"":185,""title"":""A5. Dirty Nursery Rhymes""},{""duration"":0,""title"":""Mr. Mixx's Side (B)""},{""duration"":238,""title"":""B1. Break It On Down""},{""duration"":313,""title"":""B2. 2 Live Blues""},{""duration"":265,""title"":""B3. I Ain't Bullshittin'""},{""duration"":279,""title"":""B4. Get Loose Now""},{""duration"":0,""title"":""Brother Marquis' Side (C)""},{""duration"":203,""title"":""C1. The Fuck Shop""},{""duration"":230,""title"":""C2. If You Believe In Having Sex""},{""duration"":257,""title"":""C3. My Seven Bizzos""},{""duration"":276,""title"":""C4. Get The Fuck Out Of My House""},{""duration"":252,""title"":""C5. Reggae Joint""},{""duration"":0,""title"":""Fresh Kid Ice's Side (D)""},{""duration"":285,""title"":""D1. Fraternity Record""},{""duration"":243,""title"":""D2. Bad A.. B...h""},{""duration"":343,""title"":""D3. Mega Mixx III""},{""duration"":301,""title"":""D4. Coolin'""}]",,Hip Hop,,,,,Guitar - Jimmy Magnoly,,,,,,,,Album,,,,,,,,4007193036546,0,0.000000,,,,,,0,,,,,,2025/09/20 08:52:20.008291959,,,,,,,,314444,,0,0,"https://m.media-amazon.com/images/I/81V2qOaM2tL._UF1000,1000_QL80_.jpg",
Aventine,Agnes Obel,"Obel, Agnes",,,"[{""youtubeID"":""VBLCqJNPoBw"",""title"":""Agnes Obel - Aventine (Official Video)""},{""youtubeID"":""bbU31JLtlug"",""title"":""Agnes Obel - Chord Left""},{""youtubeID"":""wZN1HKn3Qus"",""title"":""Agnes Obel - Dorian (Official Video)""},{""youtubeID"":""nBqvRZQbFdA"",""title"":""Agnes Obel - Fivefold""},{""youtubeID"":""bNV28kwDWHA"",""title"":""Agnes Obel - Fuel To Fire (David Lynch Remix) (Official Audio)""},{""youtubeID"":""hqZGvkF00DI"",""title"":""Agnes Obel - Fuel To Fire (Official Video)""},{""youtubeID"":""ELfqgI-X3yA"",""title"":""Agnes Obel - Pass Them By""},{""youtubeID"":""HpFAPApnzGE"",""title"":""Agnes Obel - Run Cried The Crawling""},{""youtubeID"":""wIhfU8Woci4"",""title"":""Agnes Obel - September Song (Official Audio)""},{""youtubeID"":""QOGQx4khAG0"",""title"":""Agnes Obel - Smoke And Mirrors""},{""youtubeID"":""6h9XUYj96ho"",""title"":""Agnes Obel - The Curse (Official Video)""},{""youtubeID"":""bAR-7YatJxY"",""title"":""Agnes Obel - Tokka""},{""youtubeID"":""hZpn7Cde1w8"",""title"":""Agnes Obel - Words Are Dead""}]",,,,2013,,"[{""duration"":0,""title"":""A1. Chord Left""},{""duration"":0,""title"":""A2. Fuel To Fire""},{""duration"":0,""title"":""A3. Dorian""},{""duration"":0,""title"":""A4. Aventine""},{""duration"":0,""title"":""A5. Run Cried The Crawling""},{""duration"":0,""title"":""B1. Tokka""},{""duration"":0,""title"":""B2. The Curse""},{""duration"":0,""title"":""B3. Pass Them By""},{""duration"":0,""title"":""B4. Words Are Dead""},{""duration"":0,""title"":""B5. Fivefold""},{""duration"":0,""title"":""B6. Smoke & Mirrors""}]",,"Folk, World, & Country",,,,,"Violin - Anne Müller,Piano - Agnes Obel,Vocals - Agnes Obel,Guitar - Robert Kondorosi,Violin - Mika Posen,Cello - Anne Müller",,,,,,,,Album,,,,,,,,5414939567919,0,0.000000,,,,,,0,,,,,,2025/09/20 08:50:25.923560023,,,,,,,,16261929,,0,0,https://www.stereolifemagazine.com/images/articles/agnesobelaventine/AgnesObelAventineCover.jpg,
Before The Storm,Johnny Winter,"Winter, Johnny",,,"[{""youtubeID"":""ge0KPlc4_kg"",""title"":""Johnny Winter Leaving blues Lyrics""}]",,,,1973,,"[{""duration"":162,""title"":""A1. Parchman Farm""},{""duration"":159,""title"":""A2. Livin' In The Blues""},{""duration"":168,""title"":""A3. Leavin' Blues""},{""duration"":136,""title"":""A4. Thirty-Eight, Thirty-Two, Twenty""},{""duration"":160,""title"":""A5. Bad News""},{""duration"":220,""title"":""B1. Kind Hearted Woman""},{""duration"":142,""title"":""B2. Out Of Sight""},{""duration"":187,""title"":""B3. Low Down Gal Of Mine""},{""duration"":279,""title"":""B4. Going Down Slow""},{""duration"":150,""title"":""B5. Avocado Green""},{""duration"":142,""title"":""C1. Stay By My Side""},{""duration"":121,""title"":""C2. I Had To Cry""},{""duration"":160,""title"":""C3. Kiss Tomorrow Goodbye""},{""duration"":180,""title"":""C4. Harlem Nocturne (Instrumental)""},{""duration"":170,""title"":""C5. Easy Lovin' Girl""},{""duration"":180,""title"":""D1. Spiders Of The Mind""},{""duration"":157,""title"":""D2. My World Turns All Around Her""},{""duration"":182,""title"":""D3. Take A Chance On My Love (Instrumental)""},{""duration"":158,""title"":""D4. Please Come Home For Christmas""}]",,Rock,,,,,"Performer - Johnny Winter's Band,Saxophone - Edgar Winter,Guitar - Johnny Winter",,,,,,,,Album,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 09:25:30.527307033,,,,,,,,2782152,,0,0,https://i.discogs.com/GIuPlweZ3iT0prP8hECJaktlcV7GYMXskIRaPPbtGkk/rs:fit/g:sm/q:90/h:539/w:535/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI3ODIx/NTItMTMyNTU0MDc5/OC5qcGVn.jpeg,
Bitches Brew,Miles Davis,"Davis, Miles",,,"[{""youtubeID"":""cwcmT_85Gbs"",""title"":""Bitches Brew""},{""youtubeID"":""rU5Rs48EXrU"",""title"":""Feio""},{""youtubeID"":""cZvfYnz80P4"",""title"":""John McLaughlin""},{""youtubeID"":""tDZuQTe3oaE"",""title"":""Miles Runs the Voodoo Down""},{""youtubeID"":""WtORTuLJw7o"",""title"":""Pharaoh's Dance""},{""youtubeID"":""w8qXWg0cD-M"",""title"":""Sanctuary""},{""youtubeID"":""e3GLh5XQ0S4"",""title"":""Spanish Key""}]",,,,2016,,"[{""title"":""A. Pharaoh's Dance"",""duration"":1203},{""title"":""B. Bitches Brew"",""duration"":1620},{""title"":""C1. Spanish Key"",""duration"":1052},{""title"":""C2. John McLaughlin"",""duration"":262},{""title"":""D1. Miles Runs The Voodoo Down"",""duration"":841},{""title"":""D2. Sanctuary"",""duration"":656}]",,Jazz,,,,,"Electric Guitar - John McLaughlin,Electric Piano - Chick Corea,Electric Piano - Larry Young,Drums - Charles Alias,Electric Piano - Joe Zawinul,Percussion - Jim Riley,Trumpet - Miles Davis,Bass - Dave Holland,Bass - Harvey Brooks,Drums - Jack DeJohnette,Drums - Lenny White",,,,,,,,Album,,,,,,,,0888751119017,0,0.000000,,,,,,0,,,,,,2025/09/20 23:23:22.722869038,,,,,,,,10676630,,0,0,https://i.discogs.com/olhAl_0ekPbKxvJCB6P4qHlO_oZuyU0Rh11RQ0gvgSo/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNjc2/NjMwLTE2NTcxNDI5/NzItMTgzNy5qcGVn.jpeg,
